############
BLOQUE:A
############

numero,respuestas_correctas,learning_objective,k_level,points
65,"a,d",FL-5.3.1,K1,1
66,b,FL-5.3.2,K2,1

############
BLOQUE:B
############

numero,respuestas_correctas,learning_objective,k_level,points
01,d,FL-1.2.1,K2,1
02,b,FL-1.2.2,K1,1
03,d,FL-1.3.1,K2,1
04,a,FL-1.4.1,K2,1
05,c,FL-1.4.2,K2,1
06,b,FL-1.4.4,K2,1
07,b,FL-1.5.1,K2,1
08,d,FL-1.5.2,K1,1
09,b,FL-2.1.1,K2,1
10,b,FL-2.1.2,K1,1
11,a,FL-2.1.3,K1,1
12,b,FL-2.1.4,K2,1
13,a,FL-2.2.1,K2,1
14,d,FL-2.2.3,K2,1
15,b,FL-3.1.3,K2,1
16,c,FL-3.2.1,K1,1
17,d,FL-3.2.2,K2,1
18,c,FL-3.2.3,K1,1
19,d,FL-4.1.1,K2,1
20,a,FL-4.2.1,K3,1
21,d,FL-4.2.2,K3,1
22,b,FL-4.2.3,K3,1
23,c,FL-4.2.4,K3,1
24,b,FL-4.3.1,K2,1
25,c,FL-4.3.2,K2,1
26,"a,e",FL-4.4.2,K2,1
27,d,FL-4.4.3,K2,1
28,b,FL-4.5.2,K2,1
29,d,FL-4.5.3,K3,1
30,a,FL-5.1.3,K2,1
31,b,FL-5.1.4,K3,1
32,b,FL-5.1.5,K3,1
33,d,FL-5.1.7,K2,1
34,c,FL-5.2.4,K2,1
35,a,FL-5.3.1,K1,1
36,a,FL-5.3.3,K2,1
37,a,FL-5.4.1,K2,1
38,b,FL-5.5.1,K3,1
39,c,FL-6.1.1,K2,1
40,a,FL-6.2.1,K1,1

############
BLOQUE:C
############

numero,respuestas_correctas,learning_objective,k_level,points
01,b,FL-1.1.1,K1,1
02,c,FL-1.1.2,K2,1
03,b,FL-1.3.1,K2,1
04,"b,e",FL-1.4.1,K2,1
05,a,FL-1.4.3,K2,1
06,c,FL-1.4.5,K2,1
07,b,FL-1.5.2,K1,1
08,a,FL-1.5.3,K2,1
09,d,FL-2.1.2,K1,1
10,d,FL-2.1.3,K1,1
11,b,FL-2.1.5,K2,1
12,c,FL-2.1.6,K2,1
13,d,FL-2.2.1,K2,1
14,b,FL-2.2.3,K2,1
15,d,FL-3.1.3,K2,1
16,a,FL-3.2.1,K1,1
17,b,FL-3.2.4,K2,1
18,b,FL-3.2.5,K1,1
19,c,FL-4.1.1,K2,1
20,a,FL-4.2.1,K3,1
21,d,FL-4.2.2,K3,1
22,d,FL-4.2.3,K3,1
23,a,FL-4.2.4,K3,1
24,c,FL-4.3.2,K2,1
25,a,FL-4.3.3,K2,1
26,b,FL-4.4.1,K2,1
27,d,FL-4.4.3,K2,1
28,b,FL-4.5.2,K2,1
29,d,FL-4.5.3,K3,1
30,a,FL-5.1.1,K2,1
31,c,FL-5.1.4,K3,1
32,a,FL-5.1.5,K3,1
33,b,FL-5.1.6,K1,1
34,d,FL-5.1.7,K2,1
35,c,FL-5.2.3,K2,1
36,b,FL-5.3.2,K2,1
37,d,FL-5.4.1,K2,1
38,b,FL-5.5.1,K3,1
39,d,FL-6.1.1,K2,1
40,d,FL-6.2.1,K1,1

############
BLOQUE:D
############

numero,respuestas_correctas,learning_objective,k_level,points
01,d,FL-1.1.1,K1,1
02,c,FL-1.2.3,K2,1
03,a,FL-1.3.1,K2,1
04,b,FL-1.4.1,K2,1
05,a,FL-1.4.3,K2,1
06,d,FL-1.4.5,K2,1
07,a,FL-1.5.2,K1,1
08,b,FL-1.5.3,K2,1
09,a,FL-2.1.2,K1,1
10,a,FL-2.1.3,K1,1
11,d,FL-2.1.4,K2,1
12,b,FL-2.1.6,K2,1
13,a,FL-2.2.2,K2,1
14,b,FL-2.3.1,K2,1
15,c,FL-3.1.1,K1,1
16,c,FL-3.1.2,K2,1
17,b,FL-3.2.2,K2,1
18,b,FL-3.2.3,K1,1
19,b,FL-4.1.1,K2,1
20,"b,e",FL-4.2.1,K3,1
21,c,FL-4.2.2,K3,1
22,a,FL-4.2.3,K3,1
23,b,FL-4.2.4,K3,1
24,c,FL-4.3.1,K2,1
25,a,FL-4.3.3,K2,1
26,c,FL-4.4.1,K2,1
27,d,FL-4.4.2,K2,1
28,d,FL-4.5.1,K2,1
29,a,FL-4.5.3,K3,1
30,"b,d",FL-5.1.3,K2,1
31,a,FL-5.1.4,K3,1
32,b,FL-5.1.5,K3,1
33,c,FL-5.1.7,K2,1
34,b,FL-5.2.1,K1,1
35,"b,e",FL-5.2.2,K2,1
36,c,FL-5.3.2,K2,1
37,d,FL-5.4.1,K2,1
38,a,FL-5.5.1,K3,1
39,b,FL-6.1.1,K2,1
40,c,FL-6.2.1,K1,1

############
BLOQUE:E
############

numero,respuestas_correctas,learning_objective,k_level,points
01,c,FL-1.1.1,K1,1
02,d,FL-1.2.3,K2,1
03,d,FL-1.4.1,K2,1
04,b,FL-1.3.1,K2,1
05,d,FL-1.5.1,K2,1
06,a,FL-1.4.3,K2,1
07,c,FL-1.4.4,K2,1
08,b,FL-1.5.2,K1,1
09,a,FL-2.1.1,K2,1
10,b,FL-2.1.2,K1,1
11,c,FL-2.1.3,K1,1
12,a,FL-2.1.4,K2,1
13,b,FL-2.2.2,K2,1
14,d,FL-2.2.3,K2,1
15,c,FL-3.1.1,K1,1
16,d,FL-3.1.3,K2,1
17,b,FL-3.2.2,K2,1
18,b,FL-3.2.3,K1,1
19,b,FL-4.1.1,K1,1
20,d,FL-4.2.1,K3,1
21,a,FL-4.2.2,K3,1
22,d,FL-4.2.3,K3,1
23,b,FL-4.2.4,K3,1
24,a,FL-4.3.1,K2,1
25,d,FL-4.3.2,K2,1
26,a,FL-4.4.2,K2,1
27,d,FL-4.4.3,K2,1
28,c,FL-4.5.1,K2,1
29,d,FL-4.5.3,K3,1
30,d,FL-5.1.1,K2,1
31,b,FL-5.1.4,K3,1
32,b,FL-5.1.6,K1,1
33,b,FL-5.1.5,K3,1
34,b,FL-5.1.7,K2,1
35,a,FL-5.2.2,K2,1
36,c,FL-5.4.1,K2,1
37,b,FL-5.3.2,K2,1
38,d,FL-5.5.1,K3,1
39,a,FL-6.1.1,K2,1
40,a,FL-6.2.1,K1,1

############
BLOQUE:F
############

numero,respuestas_correctas,learning_objective,k_level,points
01,d,FL-1.2.1,K2,1
02,b,FL-1.2.2,K1,1
03,c,FL-1.3.1,K2,1
04,d,FL-1.4.3,K2,1
05,c,FL-1.4.2,K2,1
06,d,FL-1.4.4,K2,1
07,b,FL-1.5.1,K2,1
08,d,FL-1.5.2,K1,1
09,b,FL-2.1.1,K2,1
10,b,FL-2.1.2,K1,1
11,a,FL-2.1.3,K1,1
12,b,FL-2.1.4,K2,1
13,a,FL-2.2.1,K2,1
14,a,FL-2.3.1,K2,1
15,a,FL-3.1.2,K2,1
16,c,FL-3.2.1,K1,1
17,d,FL-3.2.2,K2,1
18,c,FL-3.2.3,K1,1
19,d,FL-4.1.1,K2,1
20,a,FL-4.2.1,K3,1
21,c,FL-4.2.2,K3,1
22,b,FL-4.2.3,K3,1
23,d,FL-4.2.4,K3,1
24,b,FL-4.3.1,K2,1
25,c,FL-4.3.2,K2,1
26,d,FL-4.4.2,K2,1
27,d,FL-4.4.3,K2,1
28,b,FL-4.5.2,K2,1
29,b,FL-4.5.3,K3,1
30,a,FL-5.1.3,K2,1
31,b,FL-5.1.4,K3,1
32,d,FL-5.1.5,K3,1
33,d,FL-5.1.7,K2,1
34,b,FL-5.2.4,K2,1
35,a,FL-5.3.1,K1,1
36,a,FL-5.3.3,K2,1
37,a,FL-5.4.1,K2,1
38,b,FL-5.5.1,K3,1
39,c,FL-6.1.1,K2,1
40,a,FL-6.2.1,K1,1

############
BLOQUE:G
############

numero,respuestas_correctas,learning_objective,k_level,points
01,b,FL-1.1.1,K1,1
02,b,FL-1.1.2,K2,1
03,b,FL-1.3.1,K2,1
04,b,FL-1.4.1,K2,1
05,a,FL-1.4.2,K2,1
06,c,FL-1.4.5,K2,1
07,d,FL-1.5.3,K2,1
08,c,FL-1.5.2,K1,1
09,a,FL-2.1.2,K1,1
10,d,FL-2.1.3,K1,1
11,a,FL-2.1.5,K2,1
12,d,FL-2.1.1,K2,1
13,a,FL-2.2.1,K2,1
14,d,FL-2.3.1,K2,1
15,a,FL-3.1.2,K2,1
16,d,FL-3.2.1,K1,1
17,c,FL-3.2.4,K2,1
18,b,FL-3.2.5,K1,1
19,b,FL-4.1.1,K2,1
20,b,FL-4.2.1,K3,1
21,c,FL-4.2.2,K3,1
22,c,FL-4.2.3,K3,1
23,a,FL-4.2.4,K3,1
24,b,FL-4.3.1,K2,1
25,a,FL-4.3.3,K2,1
26,c,FL-4.4.3,K2,1
27,c,FL-4.4.2,K2,1
28,c,FL-4.5.2,K2,1
29,c,FL-4.5.3,K3,1
30,d,FL-5.1.2,K1,1
31,d,FL-5.1.3,K2,1
32,c,FL-5.1.4,K3,1
33,d,FL-5.1.5,K3,1
34,a,FL-5.1.7,K2,1
35,c,FL-5.2.4,K2,1
36,a,FL-5.3.3,K2,1
37,d,FL-5.4.1,K2,1
38,b,FL-5.5.1,K3,1
39,c,FL-6.1.1,K2,1
40,d,FL-6.2.1,K1,1

############
BLOQUE:H
############

numero,respuestas_correctas,learning_objective,k_level,points
01,c,FL-1.1.1,K1,1
02,d,FL-1.2.3,K2,1
03,d,FL-1.4.1,K2,1
04,b,FL-1.3.1,K2,1
05,d,FL-1.5.1,K2,1
06,a,FL-1.4.3,K2,1
07,c,FL-1.4.4,K2,1
08,b,FL-1.5.2,K1,1
09,a,FL-2.1.1,K2,1
10,b,FL-2.1.2,K1,1
11,c,FL-2.1.3,K1,1
12,a,FL-2.1.4,K2,1
13,b,FL-2.2.2,K2,1
14,d,FL-2.2.3,K2,1
15,c,FL-3.1.1,K1,1
16,d,FL-3.1.3,K2,1
17,b,FL-3.2.2,K2,1
18,b,FL-3.2.3,K1,1
19,b,FL-4.1.1,K1,1
20,d,FL-4.2.1,K3,1
21,a,FL-4.2.2,K3,1
22,d,FL-4.2.3,K3,1
23,b,FL-4.2.4,K3,1
24,a,FL-4.3.1,K2,1
25,d,FL-4.3.2,K2,1
26,a,FL-4.4.2,K2,1
27,d,FL-4.4.3,K2,1
28,c,FL-4.5.1,K2,1
29,d,FL-4.5.3,K3,1
30,d,FL-5.1.1,K2,1
31,b,FL-5.1.4,K3,1
32,b,FL-5.1.6,K1,1
33,b,FL-5.1.5,K3,1
34,b,FL-5.1.7,K2,1
35,a,FL-5.2.2,K2,1
36,c,FL-5.4.1,K2,1
37,b,FL-5.3.2,K2,1
38,d,FL-5.5.1,K3,1
39,a,FL-6.1.1,K2,1
40,a,FL-6.2.1,K1,1
